       Node,    Mode,   Dis
      57,      25,     -3.767454E-15,      6.125511E-15,     -9.662504E-04,      8.846405E-05,      1.928695E-04,      1.272106E-15	
      65,      25,     -2.055115E-15,     -5.016588E-15,      1.023952E-03,      8.846405E-05,     -5.132469E-04,      2.223068E-16	


       Node,    Mode,   Dis
       1,      26,      0.000000E+00,      0.000000E+00,     -3.444499E-20,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      26,      0.000000E+00,      0.000000E+00,      5.501154E-20,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      26,      7.576522E-15,      9.032896E-04,     -5.795576E-15,     -4.776734E-16,     -3.754868E-15,      1.158014E-04	
      34,      26,      6.720077E-15,      9.942930E-04,     -2.404328E-15,     -3.795053E-16,     -2.664192E-15,      4.140746E-05	
      41,      26,     -1.059149E-14,     -7.648776E-04,      4.392328E-15,      3.092721E-16,      5.657725E-16,      1.238142E-04	
      49,      26,      9.668809E-15,     -1.120944E-15,     -5.917018E-15,      1.096321E-15,     -1.616931E-15,     -4.442787E-04	
      57,      26,     -9.355085E-15,      7.648776E-04,      4.936788E-15,      1.883379E-15,     -9.055892E-16,      1.238142E-04	
      65,      26,      6.469979E-15,     -9.032896E-04,     -1.740495E-15,      2.670573E-15,     -2.784192E-17,      1.158014E-04	


       Node,    Mode,   Dis
       1,      27,      0.000000E+00,      0.000000E+00,      6.017448E-20,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      27,      0.000000E+00,      0.000000E+00,     -1.210659E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      27,      4.244872E-04,      1.638802E-14,     -4.587890E-15,     -2.635248E-16,     -1.976184E-15,     -9.615741E-15	
      34,      27,      1.298173E-04,      6.866561E-15,     -2.577307E-15,     -2.528031E-16,     -2.080409E-15,     -9.332528E-15	
      41,      27,     -6.090824E-04,      8.556338E-15,      5.360702E-15,     -1.778530E-16,      1.965400E-15,      3.244434E-15	
